date,revenue,age_groups,180dayma,30dayma,7dayma,Prev30
2019-10-02,42346.0000,all,29451.13333333,36390.13333333,41511.21428571,31032.36666667
2019-10-03,39452.0000,all,29582.91111111,36300.16666667,42027.78571429,31474.36666667
2019-10-04,36092.0000,all,29669.25000000,36444.43333333,42759.78571429,31064.83333333
2019-10-05,26656.0000,all,29682.53888889,36215.13333333,42943.78571429,31177.20000000
2019-10-06,38737.0000,all,29701.12777778,36583.40000000,42107.50000000,31046.03333333
2019-10-07,40140.0000,all,29775.98333333,36974.46666667,38775.85714286,30804.58333333
2019-10-08,43351.0000,all,29842.31111111,37369.10000000,38110.57142857,30965.75000000
2019-10-09,33727.0000,all,29884.53333333,36886.83333333,36879.28571429,31804.61666667
2019-10-10,34564.0000,all,29956.85000000,36777.31666667,36181.00000000,32172.76666667
2019-10-11,31998.0000,all,30037.73888889,36525.18333333,35596.14285714,32181.40000000
2019-10-12,35256.0000,all,30103.40000000,36637.01666667,36824.71428571,32014.16666667
2019-10-13,36626.0000,all,30175.36111111,36802.78333333,36523.14285714,31959.86666667
2019-10-14,43461.0000,all,30310.97222222,37373.18333333,36997.57142857,31676.96666667
2019-10-15,40698.0000,all,30387.58333333,37633.55000000,36618.57142857,32014.13333333
2019-10-16,42869.0000,all,30476.75555556,37555.38333333,37924.57142857,32365.30000000
2019-10-17,32574.0000,all,30560.90555556,37497.91666667,37640.28571429,32350.43333333
2019-10-18,41802.0000,all,30713.32777778,37808.78333333,39040.85714286,32101.53333333
2019-10-19,30026.0000,all,30707.71111111,37659.25000000,38293.71428571,32161.66666667
2019-10-20,39217.0000,all,30777.79444444,37890.95000000,38663.85714286,32148.93333333
2019-10-21,47845.0000,all,30899.49444444,38673.35000000,39290.14285714,32022.56666667
2019-10-22,42650.0000,all,31011.77777778,39011.88333333,39569.00000000,32316.03333333
2019-10-23,42841.0000,all,31146.29444444,38998.05000000,39565.00000000,32942.63333333
2019-10-24,36114.0000,all,31253.39444444,39058.28333333,40070.71428571,33092.56666667
2019-10-25,29961.0000,all,31257.15000000,38574.51666667,38379.14285714,33357.86666667
2019-10-26,24221.0000,all,31160.19444444,38187.35000000,37549.85714286,33415.16666667
2019-10-27,35475.0000,all,31185.01111111,38337.58333333,37015.28571429,33477.90000000
2019-10-28,39679.0000,all,31232.11388889,38814.61666667,35848.71428571,33423.10000000
2019-10-29,40596.0000,all,31328.40277778,38681.45000000,35555.28571429,34005.66666667
2019-10-30,37707.0000,all,31421.75277778,37822.96666667,34821.85714286,35260.00000000
2019-10-31,24989.0000,all,31430.80833333,37055.66666667,33232.57142857,36053.10000000
2019-11-01,28533.0000,all,31414.51944444,36595.23333333,33028.57142857,36390.13333333
2019-11-02,30526.0000,all,31347.05277778,36297.70000000,33929.28571429,36300.16666667
2019-11-03,37777.0000,all,31382.02500000,36353.86666667,34258.14285714,36444.43333333
2019-11-04,43127.0000,all,31451.75833333,36902.90000000,34750.71428571,36215.13333333
2019-11-05,40807.0000,all,31497.13055556,36971.90000000,34780.85714286,36583.40000000
2019-11-06,38943.0000,all,31568.16944444,36932.00000000,34957.42857143,36974.46666667
2019-11-07,34582.0000,all,31635.77500000,36639.70000000,36327.85714286,37369.10000000
2019-11-08,25179.0000,all,31669.70833333,36354.76666667,35848.71428571,36886.83333333
2019-11-09,24373.0000,all,31613.30833333,36015.06666667,34969.71428571,36777.31666667
2019-11-10,47422.0000,all,31713.64722222,36529.20000000,36347.57142857,36525.18333333
2019-11-11,45341.0000,all,31814.04722222,36865.36666667,36663.85714286,36637.01666667
2019-11-12,44284.5000,all,31909.80555556,37120.65000000,37160.64285714,36802.78333333
2019-11-13,33831.0000,all,31983.95555556,36799.65000000,36430.35714286,37373.18333333
2019-11-14,40923.0000,all,32117.39444444,36807.15000000,37336.21428571,37633.55000000
2019-11-15,37339.0000,all,32193.06666667,36622.81666667,39073.35714286,37555.38333333
2019-11-16,27313.0000,all,32087.37222222,36447.45000000,39493.35714286,37497.91666667
2019-11-17,35094.0000,all,32065.29444444,36223.85000000,37732.21428571,37808.78333333
2019-11-18,36759.0000,all,32116.11111111,36448.28333333,36506.21428571,37659.25000000
2019-11-19,50740.0000,all,32251.90555556,36832.38333333,37428.42857143,37890.95000000
2019-11-20,43360.0000,all,32372.19444444,36682.88333333,38789.71428571,38673.35000000
2019-11-21,44513.0000,all,32507.94444444,36744.98333333,39302.57142857,39011.88333333
2019-11-22,35274.0000,all,32580.43333333,36492.75000000,39007.57142857,38998.05000000
2019-11-23,23868.0000,all,32559.75000000,36084.55000000,38515.42857143,39058.28333333
2019-11-24,30139.0000,all,32555.97777778,36090.48333333,37807.57142857,38574.51666667
2019-11-25,40884.0000,all,32636.34444444,36645.91666667,38396.85714286,38187.35000000
2019-11-26,26351.0000,all,32645.20000000,36341.78333333,34912.71428571,38337.58333333
2019-11-27,20917.0000,all,32637.08333333,35716.38333333,31706.57142857,38814.61666667
2019-11-28,12683.0000,all,32593.53888889,34785.95000000,27159.42857143,38681.45000000
2019-11-29,38377.0000,all,32685.80000000,34808.28333333,27602.71428571,37822.96666667
2019-11-30,35688.0000,all,32678.88333333,35164.91666667,29291.28571429,37055.66666667
2019-12-01,47761.0000,all,32736.32777778,35805.85000000,31808.71428571,36595.23333333
2019-12-02,214593.5000,all,33745.06944444,41941.43333333,56624.35714286,36297.70000000
2019-12-03,45511.0000,all,33848.45833333,42199.23333333,59361.50000000,36353.86666667
2019-12-04,38260.0000,all,33946.81388889,42037.00000000,61839.07142857,36902.90000000
2019-12-05,34002.0000,all,34010.41944444,41810.16666667,64884.64285714,36971.90000000
2019-12-06,30228.0000,all,34018.83611111,41519.66666667,63720.50000000,36932.00000000
2019-12-07,30023.0000,all,34011.29722222,41367.70000000,62911.21428571,36639.70000000
2019-12-08,41254.0000,all,34078.17500000,41903.53333333,61981.64285714,36354.76666667
2019-12-09,41712.0000,all,34178.63611111,42481.50000000,37284.28571429,36015.06666667
2019-12-10,31771.0000,all,34189.45833333,41959.80000000,35321.42857143,36529.20000000
